DATE,TOTALSL
1977-10-01,255.41564
1977-11-01,258.77291
1977-12-01,260.5627
1978-01-01,262.76532
1978-02-01,265.73802
1978-03-01,270.26281
1978-04-01,274.13698
1978-05-01,279.25657
1978-06-01,285.10077
1978-07-01,288.80554
1978-08-01,292.81311
1978-09-01,296.17942
1978-10-01,298.81249
1978-11-01,302.7302
1978-12-01,306.10039
1979-01-01,309.90309
1979-02-01,313.52378
1979-03-01,317.20074
1979-04-01,320.94487
1979-05-01,325.17739
1979-06-01,328.17274
1979-07-01,331.98999
1979-08-01,335.78546
1979-09-01,339.44975
1979-10-01,343.2513
1979-11-01,346.38941
1979-12-01,348.58911
1980-01-01,350.4757
1980-02-01,353.05623
1980-03-01,353.04211
1980-04-01,351.28721
1980-05-01,348.64454
1980-06-01,346.69696
1980-07-01,347.07137
1980-08-01,347.54601
1980-09-01,348.16314
1980-10-01,349.59772
1980-11-01,350.00449
1980-12-01,351.92005
1981-01-01,353.02932
1981-02-01,354.74499
1981-03-01,357.12713
1981-04-01,359.13287
1981-05-01,361.2328
1981-06-01,362.74346
1981-07-01,364.67773
1981-08-01,365.15446
1981-09-01,369.59574
1981-10-01,370.45671
1981-11-01,371.75991
1981-12-01,371.30144
1982-01-01,375.16736
1982-02-01,376.37707
1982-03-01,376.88541
1982-04-01,378.63428
1982-05-01,380.4388
1982-06-01,381.98562
1982-07-01,382.4471
1982-08-01,382.86264
1982-09-01,384.35525
1982-10-01,384.96719
1982-11-01,386.76665
1982-12-01,389.84874
1983-01-01,391.82773
1983-02-01,392.36096
1983-03-01,395.58305
1983-04-01,398.42671
1983-05-01,399.95372
1983-06-01,404.8326
1983-07-01,409.47521
1983-08-01,413.99357
1983-09-01,417.82094
1983-10-01,423.7730
1983-11-01,429.97738
1983-12-01,437.06886
1984-01-01,441.99113
1984-02-01,451.90703
1984-03-01,456.55016
1984-04-01,462.14122
1984-05-01,472.44428
1984-06-01,480.99454
1984-07-01,487.1488
1984-08-01,494.11763
1984-09-01,498.4964
1984-10-01,504.65866
1984-11-01,510.15408
1984-12-01,517.27898
1985-01-01,523.97936
1985-02-01,532.44843
1985-03-01,541.75718
1985-04-01,549.34871
1985-05-01,555.84205
1985-06-01,561.2066
1985-07-01,567.6530
1985-08-01,573.29931
1985-09-01,582.14837
1985-10-01,588.30745
1985-11-01,594.47775
1985-12-01,599.71123
1986-01-01,605.70302
1986-02-01,610.67829
1986-03-01,613.37662
1986-04-01,619.65773
1986-05-01,625.81996
1986-06-01,630.05583
1986-07-01,635.15095
1986-08-01,638.90439
1986-09-01,646.02316
1986-10-01,653.78729
1986-11-01,653.7673
1986-12-01,654.75024
1987-01-01,653.26748
1987-02-01,652.5323
1987-03-01,651.19767
1987-04-01,656.40142
1987-05-01,658.47003
1987-06-01,662.8975
1987-07-01,667.65979
1987-08-01,672.22514
1987-09-01,676.21116
1987-10-01,681.18446
1987-11-01,684.71004
1987-12-01,686.31877
1988-01-01,692.27095
1988-02-01,696.38729
1988-03-01,700.7012
1988-04-01,705.86805
1988-05-01,710.04585
1988-06-01,713.18919
1988-07-01,716.11302
1988-08-01,721.53558
1988-09-01,722.94769
1988-10-01,726.10533
1988-11-01,729.66007
1988-12-01,731.91776
1989-01-01,749.02308
1989-02-01,752.8930
1989-03-01,760.01834
1989-04-01,764.71245
1989-05-01,769.2757
1989-06-01,773.22711
1989-07-01,776.26008
1989-08-01,778.8765
1989-09-01,781.82209
1989-10-01,785.54565
