DATE,REVOLSL
2017-04-01,973.47627
2017-05-01,977.97569
2017-06-01,982.70927
2017-07-01,985.19087
2017-08-01,989.25535
2017-09-01,994.96467
2017-10-01,1004.03807
2017-11-01,1015.23582
2017-12-01,1016.8066
2018-01-01,1021.29539
2018-02-01,1023.91497
2018-03-01,1026.30297
2018-04-01,1018.55914
2018-05-01,1024.12974
2018-06-01,1024.39845
2018-07-01,1034.81477
2018-08-01,1040.30847
2018-09-01,1042.58624
2018-10-01,1049.36507
2018-11-01,1055.93241
2018-12-01,1053.84741
2019-01-01,1057.81263
2019-02-01,1061.62403
2019-03-01,1060.50955
2019-04-01,1066.83903
2019-05-01,1070.98848
2019-06-01,1071.72034
2019-07-01,1083.2578
2019-08-01,1083.41679
2019-09-01,1083.89282
2019-10-01,1086.58733
2019-11-01,1081.04128
2019-12-01,1091.98895
2020-01-01,1091.05053
2020-02-01,1097.5318
2020-03-01,1077.26821
2020-04-01,1019.95977
2020-05-01,996.58158
2020-06-01,993.74904
2020-07-01,992.17128
2020-08-01,981.20783
2020-09-01,983.60405
2020-10-01,977.82232
2020-11-01,977.30422
2020-12-01,974.59443
2021-01-01,963.26955
2021-02-01,969.22022
2021-03-01,966.39921
2021-04-01,965.33285
2021-05-01,974.58211
2021-06-01,992.10408
2021-07-01,997.97215
2021-08-01,1001.20684
2021-09-01,1011.02121
2021-10-01,1017.87905
2021-11-01,1038.10675
2021-12-01,1041.6766
2022-01-01,1045.17784
2022-02-01,1063.1744
